date, count 
1/1/10,17006 
7/1/10,16519 
1/1/11,16335 
7/1/11,16142 
1/1/12,16193 
7/1/12,16173 
1/1/13,16215 
7/1/13,16365 
1/1/14,16537 
7/1/14,16727 
1/1/15,16895 
7/1/15,16984 
1/1/16,17168 
7/1/16,16718 
1/1/17,16805 
7/1/17,16793 
1/1/18,16848 
7/1/18,16874 
1/1/19,16962 
