Status,Group ID,Block,Lot,No,Dir,Street,Suff,Group Address,Property Count,Funding ID,Core Phase,Decision,Start,Date Demo Finish,Neighborhood,Projected Release to contractor,Deconstruction,neighborhood_2,status_2
Final/Full Demo Complete,1352,8243,26,3714,,WOODBINE,AVE,3714  WOODBINE AVE,1,PIM-138,NA,Full Demolition,8/6/18,10/16/18,HOWARD PARK,FY18Q3,N,HOWARD PARK,Completed
Final/Full Demo Complete,1413,2447,47,3032,,MOSHER,ST,3030-3032  MOSHER ST,2,PLN-390,NA,Full Demolition,10/9/18,12/13/18,FRANKLINTOWN ROAD,FY19Q2,N,FRANKLINTOWN ROAD,Completed
Final/Full Demo Complete,1413,2447,46,3030,,MOSHER,ST,3030-3032  MOSHER ST,2,PLN-390,NA,Full Demolition,10/9/18,12/13/18,FRANKLINTOWN ROAD,FY19Q2,N,FRANKLINTOWN ROAD,Completed
Prep For Release,1452,2176,5,106,S,CATHERINE,ST,106 S CATHERINE ST,1,PLN-262,NA,Full Demolition,,,SHIPLEY HILL,FY19Q3,N,SHIPLEY HILL,Raze in FY19
Utility cut off,1453,2176,106,2504,,EMERSON,ST,2504  EMERSON ST,1,UNDECIDED,NA,Full Demolition,,,SHIPLEY HILL,FY20Q1,N,SHIPLEY HILL,FY20
Sent to MSA,1454,2176,87,2503,,EMERSON,ST,2503 - 2507  EMERSON ST,3,PROJECTCORE(16),1,Full Demolition,,,SHIPLEY HILL,FY18Q4,N,SHIPLEY HILL,Raze in FY19
Sent to MSA,1454,2176,88,2505,,EMERSON,ST,2503 - 2507  EMERSON ST,3,PROJECTCORE(16),1,Full Demolition,,,SHIPLEY HILL,FY18Q4,N,SHIPLEY HILL,Raze in FY19
Sent to MSA,1454,2176,89,2507,,EMERSON,ST,2503 - 2507  EMERSON ST,3,PROJECTCORE(16),1,Full Demolition,,,SHIPLEY HILL,FY18Q4,N,SHIPLEY HILL,Raze in FY19
DEMO Prep,1455,2176,101,2531,,EMERSON,ST,2531 - 2533  EMERSON ST,2,ProjectCore(19),1,Full Demolition,,,SHIPLEY HILL,FY20Q1,N,SHIPLEY HILL,FY20
DEMO Prep,1455,2176,102,2533,,EMERSON,ST,2531 - 2533  EMERSON ST,2,ProjectCore(19),1,Full Demolition,,,SHIPLEY HILL,FY20Q1,N,SHIPLEY HILL,FY20
Utility cut off,1457,1553,74,2207,,HENNEMAN,AVE,2203 - 2213  HENNEMAN AVE,6,PROJECTCORE(16),1,Full Demolition,,,MIDDLE EAST,FY19Q4,N,MIDDLE EAST,FY20
Utility cut off,1457,1553,77,2213,,HENNEMAN,AVE,2203 - 2213  HENNEMAN AVE,6,PROJECTCORE(16),1,Full Demolition,,,MIDDLE EAST,FY19Q4,N,MIDDLE EAST,FY20
Utility cut off,1457,1553,72,2203,,HENNEMAN,AVE,2203 - 2213  HENNEMAN AVE,6,PROJECTCORE(16),1,Full Demolition,,,MIDDLE EAST,FY19Q4,N,MIDDLE EAST,FY20
Utility cut off,1457,1553,75,2209,,HENNEMAN,AVE,2203 - 2213  HENNEMAN AVE,6,PROJECTCORE(16),1,Full Demolition,,,MIDDLE EAST,FY19Q4,N,MIDDLE EAST,FY20
Utility cut off,1457,1553,73,2205,,HENNEMAN,AVE,2203 - 2213  HENNEMAN AVE,6,PROJECTCORE(16),1,Full Demolition,,,MIDDLE EAST,FY19Q4,N,MIDDLE EAST,FY20
Utility cut off,1457,1553,76,2211,,HENNEMAN,AVE,2203 - 2213  HENNEMAN AVE,6,PROJECTCORE(16),1,Full Demolition,,,MIDDLE EAST,FY19Q4,N,MIDDLE EAST,FY20
Due Process,1458,1553,80,2219,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,88,2235,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,79,2217,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,82,2223,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,85,2229,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,81,2221,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,83,2225,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,84,2227,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,86,2231,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Due Process,1458,1553,87,2233,,HENNEMAN,AVE,2217 - 2235  HENNEMAN AVE,10,UNDECIDED,1,Full Demolition,,,MIDDLE EAST,FY19Q4,Y,MIDDLE EAST,FY20
Final/Full Demo Complete,1463,1516,27,1324,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,30,1318,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,28,1322,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,29,1320,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,31,1316,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,32,1314,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,34,1310,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,35,1308,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,37,1304,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,33,1312,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,1463,1516,36,1306,N,WASHINGTON,ST,1304 - 1324 N WASHINGTON ST,11,ProjectCore(19),1,Full Demolition,5/15/18,9/19/18,BROADWAY EAST,FY19Q1,Y,BROADWAY EAST,Completed
DEMO Prep,1465,264,41,1400,,MCHENRY,ST,1400-1404   MCHENRY ST,3,PROJECTCORE(16),1,Full Demolition,,,NEW SOUTHWEST/MOUNT CLARE,FY20Q1,Y,NEW SOUTHWEST/MOUNT CLARE,FY20
DEMO Prep,1465,264,39,1404,,MCHENRY,ST,1400-1404   MCHENRY ST,3,PROJECTCORE(16),1,Full Demolition,,,NEW SOUTHWEST/MOUNT CLARE,FY20Q1,Y,NEW SOUTHWEST/MOUNT CLARE,FY20
DEMO Prep,1465,264,40,1402,,MCHENRY,ST,1400-1404   MCHENRY ST,3,PROJECTCORE(16),1,Full Demolition,,,NEW SOUTHWEST/MOUNT CLARE,FY20Q1,Y,NEW SOUTHWEST/MOUNT CLARE,FY20
Final/Full Demo Complete,1474,101,34,705,N,CALHOUN,ST,705 - 707 N CALHOUN ST,2,PLN-260,NA,Full Demolition,10/1/18,11/28/18,HARLEM PARK,FY19Q2,N,HARLEM PARK,Completed
Final/Full Demo Complete,1474,101,33,707,N,CALHOUN,ST,705 - 707 N CALHOUN ST,2,PLN-260,NA,Full Demolition,10/1/18,11/28/18,HARLEM PARK,FY19Q2,N,HARLEM PARK,Completed
Due Process,1494,3413,65,1406,,WHITELOCK,ST,1404 - 1406  WHITELOCK ST,2,PROJECTCORE(16),1,Full Demolition,,,PENN NORTH,FY20Q1,Y,PENN NORTH,FY20
Due Process,1494,3413,66,1404,,WHITELOCK,ST,1404 - 1406  WHITELOCK ST,2,PROJECTCORE(16),1,Full Demolition,,,PENN NORTH,FY20Q1,Y,PENN NORTH,FY20
Prep For Release,1495,264,30,1424,,MCHENRY,ST,1422-1424  MCHENRY ST,2,PLN-390,NA,Full Demolition,,,NEW SOUTHWEST/MOUNT CLARE,FY19Q3,N,NEW SOUTHWEST/MOUNT CLARE,Raze in FY19
Prep For Release,1495,264,31,1422,,MCHENRY,ST,1422-1424  MCHENRY ST,2,PLN-390,NA,Full Demolition,,,NEW SOUTHWEST/MOUNT CLARE,FY19Q3,N,NEW SOUTHWEST/MOUNT CLARE,Raze in FY19
DEMO Prep,1506,4177,42,2404,,VONDERHORST,LANE,2402 - 2406  VONDERHORST LANE,3,PLN-390,NA,Full Demolition,,,BEREA,FY20Q1,N,BEREA,FY20
DEMO Prep,1506,4177,43,2406,,VONDERHORST,LANE,2402 - 2406  VONDERHORST LANE,3,PLN-390,NA,Full Demolition,,,BEREA,FY20Q1,N,BEREA,FY20
DEMO Prep,1506,4177,41,2402,,VONDERHORST,LANE,2402 - 2406  VONDERHORST LANE,3,PLN-390,NA,Full Demolition,,,BEREA,FY20Q1,N,BEREA,FY20
Start Demo - Full,1509,205,66,2111,,BOOTH,ST,2101 - 2113  BOOTH ST,7,PROJECTCORE(16),1,Full Demolition,11/8/18,,BOOTH-BOYD,FY18Q2,N,BOOTH-BOYD,Started but not complete
Start Demo - Full,1509,205,61,2101,,BOOTH,ST,2101 - 2113  BOOTH ST,7,PROJECTCORE(16),1,Full Demolition,11/8/18,,BOOTH-BOYD,FY18Q2,N,BOOTH-BOYD,Started but not complete
Start Demo - Full,1509,205,63,2105,,BOOTH,ST,2101 - 2113  BOOTH ST,7,PROJECTCORE(16),1,Full Demolition,11/8/18,,BOOTH-BOYD,FY18Q2,N,BOOTH-BOYD,Started but not complete
Start Demo - Full,1509,205,64,2107,,BOOTH,ST,2101 - 2113  BOOTH ST,7,PROJECTCORE(16),1,Full Demolition,11/8/18,,BOOTH-BOYD,FY18Q2,N,BOOTH-BOYD,Started but not complete
Start Demo - Full,1509,205,62,2103,,BOOTH,ST,2101 - 2113  BOOTH ST,7,PROJECTCORE(16),1,Full Demolition,11/8/18,,BOOTH-BOYD,FY18Q2,N,BOOTH-BOYD,Started but not complete
Start Demo - Full,1509,205,65,2109,,BOOTH,ST,2101 - 2113  BOOTH ST,7,PROJECTCORE(16),1,Full Demolition,11/8/18,,BOOTH-BOYD,FY18Q2,N,BOOTH-BOYD,Started but not complete
Start Demo - Full,1509,205,67,2113,,BOOTH,ST,2101 - 2113  BOOTH ST,7,PROJECTCORE(16),1,Full Demolition,11/8/18,,BOOTH-BOYD,FY18Q2,N,BOOTH-BOYD,Started but not complete
Start Demo - Full,1512,164,83,225,N,BRUCE,ST,213-225 N BRUCE ST,7,PROJECTCORE(16),1,Full Demolition,2/5/19,,FRANKLIN SQUARE,FY18Q2,N,FRANKLIN SQUARE,Started but not complete
Start Demo - Full,1512,164,85,221,N,BRUCE,ST,213-225 N BRUCE ST,7,PROJECTCORE(16),1,Full Demolition,2/5/19,,FRANKLIN SQUARE,FY18Q2,N,FRANKLIN SQUARE,Started but not complete
Start Demo - Full,1512,164,86,219,N,BRUCE,ST,213-225 N BRUCE ST,7,PROJECTCORE(16),1,Full Demolition,2/5/19,,FRANKLIN SQUARE,FY18Q2,N,FRANKLIN SQUARE,Started but not complete
Start Demo - Full,1512,164,88,215,N,BRUCE,ST,213-225 N BRUCE ST,7,PROJECTCORE(16),1,Full Demolition,2/5/19,,FRANKLIN SQUARE,FY18Q2,N,FRANKLIN SQUARE,Started but not complete
Start Demo - Full,1512,164,84,223,N,BRUCE,ST,213-225 N BRUCE ST,7,PROJECTCORE(16),1,Full Demolition,2/5/19,,FRANKLIN SQUARE,FY18Q2,N,FRANKLIN SQUARE,Started but not complete
Start Demo - Full,1512,164,87,217,N,BRUCE,ST,213-225 N BRUCE ST,7,PROJECTCORE(16),1,Full Demolition,2/5/19,,FRANKLIN SQUARE,FY18Q2,N,FRANKLIN SQUARE,Started but not complete
Start Demo - Full,1512,164,89,213,N,BRUCE,ST,213-225 N BRUCE ST,7,PROJECTCORE(16),1,Full Demolition,2/5/19,,FRANKLIN SQUARE,FY18Q2,N,FRANKLIN SQUARE,Started but not complete
Final/Full Demo Complete,1516,2171,57,2528,,HOLLINS,ST,2528  HOLLINS ST,1,PLN-380,NA,Full Demolition,8/20/18,10/16/18,SHIPLEY HILL,FY19Q1,N,SHIPLEY HILL,Completed
Final/Full Demo Complete,1518,2178,23,2621,,HAFER,ST,2611 - 2621  HAFER ST,6,ProjectCore(19),1,Full Demolition,9/14/18,10/29/18,SHIPLEY HILL,FY19Q1,Y,SHIPLEY HILL,Completed
Final/Full Demo Complete,1518,2178,26,2615,,HAFER,ST,2611 - 2621  HAFER ST,6,ProjectCore(19),1,Full Demolition,9/14/18,10/29/18,SHIPLEY HILL,FY19Q1,Y,SHIPLEY HILL,Completed
Final/Full Demo Complete,1518,2178,24,2619,,HAFER,ST,2611 - 2621  HAFER ST,6,ProjectCore(19),1,Full Demolition,9/14/18,10/29/18,SHIPLEY HILL,FY19Q1,Y,SHIPLEY HILL,Completed
Final/Full Demo Complete,1518,2178,25,2617,,HAFER,ST,2611 - 2621  HAFER ST,6,ProjectCore(19),1,Full Demolition,9/14/18,10/29/18,SHIPLEY HILL,FY19Q1,Y,SHIPLEY HILL,Completed
Final/Full Demo Complete,1518,2178,27,2613,,HAFER,ST,2611 - 2621  HAFER ST,6,ProjectCore(19),1,Full Demolition,9/14/18,10/29/18,SHIPLEY HILL,FY19Q1,Y,SHIPLEY HILL,Completed
Final/Full Demo Complete,1518,2178,28,2611,,HAFER,ST,2611 - 2621  HAFER ST,6,ProjectCore(19),1,Full Demolition,9/14/18,10/29/18,SHIPLEY HILL,FY19Q1,Y,SHIPLEY HILL,Completed
