Status,Group ID,Block,Lot,No,Dir,Street,Suff,Group Address,Property Count,Funding ID,Core Phase,Decision,Start,Date Demo Finish,Neighborhood,Projected Release to contractor,Deconstruction,neighborhood_2,status_2
Start Demo - Full,2579,431,31,1142,,ARGYLE,AVE,1140 - 1142  ARGYLE AVE,2,PROJECTCORE(17),2,Full Demolition,2/7/19,,UPTON,FY18Q4,N,UPTON,Started but not complete
Start Demo - Full,2579,431,30,1140,,ARGYLE,AVE,1140 - 1142  ARGYLE AVE,2,PROJECTCORE(17),2,Full Demolition,2/7/19,,UPTON,FY18Q4,N,UPTON,Started but not complete
Sent to MSA,2580,4550,18,5205,,BEAUFORT,AVE,5205  BEAUFORT AVE,1,PROJECTCORE(17),2,Full Demolition,,,ARLINGTON,FY18Q2,N,ARLINGTON,Raze in FY19
Start Demo - Full,2583,1516,12,1925,E,HOFFMAN,ST,1919 - 1927 E HOFFMAN ST,5,PROJECTCORE(17),2,Full Demolition,12/26/18,,BROADWAY EAST,FY18Q4,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2583,1516,9,1919,E,HOFFMAN,ST,1919 - 1927 E HOFFMAN ST,5,PROJECTCORE(17),2,Full Demolition,12/26/18,,BROADWAY EAST,FY18Q4,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2583,1516,11,1923,E,HOFFMAN,ST,1919 - 1927 E HOFFMAN ST,5,PROJECTCORE(17),2,Full Demolition,12/26/18,,BROADWAY EAST,FY18Q4,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2583,1516,10,1921,E,HOFFMAN,ST,1919 - 1927 E HOFFMAN ST,5,PROJECTCORE(17),2,Full Demolition,12/26/18,,BROADWAY EAST,FY18Q4,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2583,1516,13,1927,E,HOFFMAN,ST,1919 - 1927 E HOFFMAN ST,5,PROJECTCORE(17),2,Full Demolition,12/26/18,,BROADWAY EAST,FY18Q4,N,BROADWAY EAST,Started but not complete
Sent to MSA,2584,4010J,1,2200,,AISQUITH,ST,2200  AISQUITH ST,1,PROJECTCORE(17),2,Full Demolition,,,EAST BALTIMORE MIDWAY,FY18Q2,N,EAST BALTIMORE MIDWAY,FY20
Sent to MSA,2585,2183C,1,84,S,FRANKLINTOWN,ROAD,0078 - 0084 S FRANKLINTOWN ROAD,2,PROJECTCORE(17),2,Full Demolition,,,SHIPLEY HILL,FY19Q1,N,SHIPLEY HILL,FY20
Sent to MSA,2585,2183C,2,78,S,FRANKLINTOWN,ROAD,0078 - 0084 S FRANKLINTOWN ROAD,2,PROJECTCORE(17),2,Full Demolition,,,SHIPLEY HILL,FY19Q1,N,SHIPLEY HILL,FY20
Start Demo - Full,2586,1516,42,1924,E,PRESTON,ST,1920 - 1924 E PRESTON ST,3,PROJECTCORE(17),2,Full Demolition,12/13/18,,BROADWAY EAST,FY18Q3,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2586,1516,43,1922,E,PRESTON,ST,1920 - 1924 E PRESTON ST,3,PROJECTCORE(17),2,Full Demolition,12/13/18,,BROADWAY EAST,FY18Q3,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2586,1516,44,1920,E,PRESTON,ST,1920 - 1924 E PRESTON ST,3,PROJECTCORE(17),2,Full Demolition,12/13/18,,BROADWAY EAST,FY18Q3,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2587,1499,22,2042,E,HOFFMAN,ST,2042 - 2046 E HOFFMAN ST,3,PROJECTCORE(17),2,Full Demolition,7/26/18,,BROADWAY EAST,FY18Q2,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2587,1499,24,2046,E,HOFFMAN,ST,2042 - 2046 E HOFFMAN ST,3,PROJECTCORE(17),2,Full Demolition,7/26/18,,BROADWAY EAST,FY18Q2,N,BROADWAY EAST,Started but not complete
Start Demo - Full,2587,1499,23,2044,E,HOFFMAN,ST,2042 - 2046 E HOFFMAN ST,3,PROJECTCORE(17),2,Full Demolition,7/26/18,,BROADWAY EAST,FY18Q2,N,BROADWAY EAST,Started but not complete
Land Resources,2591,66,034A,1125,,RIGGS,AVE,1125  RIGGS AVE,1,PROJECTCORE(17),2,Full Demolition,,,SANDTOWN-WINCHESTER,FY20Q3,N,SANDTOWN-WINCHESTER,FY20
Land Resources,2604,65,76,1042,N,STOCKTON,ST,1040 - 1044 AND 1201 RIGGS AVE N STOCKTON ST,4,PROJECTCORE(17),2,Full Demolition,,,SANDTOWN-WINCHESTER,FY20Q3,N,SANDTOWN-WINCHESTER,FY20
Land Resources,2604,65,75,1040,N,STOCKTON,ST,1040 - 1044 AND 1201 RIGGS AVE N STOCKTON ST,4,PROJECTCORE(17),2,Full Demolition,,,SANDTOWN-WINCHESTER,FY20Q3,N,SANDTOWN-WINCHESTER,FY20
Land Resources,2604,65,77,1044,N,STOCKTON,ST,1040 - 1044 AND 1201 RIGGS AVE N STOCKTON ST,4,PROJECTCORE(17),2,Full Demolition,,,SANDTOWN-WINCHESTER,FY20Q3,N,SANDTOWN-WINCHESTER,FY20
Land Resources,2604,65,78,1201,,RIGGS,AVE,1040 - 1044 AND 1201 RIGGS AVE N STOCKTON ST,4,PROJECTCORE(17),2,Full Demolition,,,SANDTOWN-WINCHESTER,FY20Q3,N,SANDTOWN-WINCHESTER,FY20
Remediation,2605,2378,003B,809,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Remediation,2605,2378,003E,815,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Remediation,2605,2378,3,805,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Remediation,2605,2378,003C,811,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Remediation,2605,2378,003F,817,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Remediation,2605,2378,1,801,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Remediation,2605,2378,2,803,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Remediation,2605,2378,003A,807,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Remediation,2605,2378,003D,813,N,DUKELAND,ST,0801 - 0817 N DUKELAND ST,9,UNDECIDED,2,Full Demolition,,,MOSHER,FY19Q4,Y,MOSHER,Raze in FY19
Land Resources,2606,3408,118,2514,,SALEM,ST,2508 - 2514  SALEM ST,4,PROJECTCORE(17),2,Full Demolition,,,PENN NORTH,FY20Q2,Y,PENN NORTH,FY20
Land Resources,2606,3408,121,2508,,SALEM,ST,2508 - 2514  SALEM ST,4,PROJECTCORE(17),2,Full Demolition,,,PENN NORTH,FY20Q2,Y,PENN NORTH,FY20
Land Resources,2606,3408,119,2512,,SALEM,ST,2508 - 2514  SALEM ST,4,PROJECTCORE(17),2,Full Demolition,,,PENN NORTH,FY20Q2,Y,PENN NORTH,FY20
Land Resources,2606,3408,120,2510,,SALEM,ST,2508 - 2514  SALEM ST,4,PROJECTCORE(17),2,Full Demolition,,,PENN NORTH,FY20Q2,Y,PENN NORTH,FY20
Release to Contractor(Whole Group),2609,1504,56,2423,,LLEWELYN,AVE,2421-2427   LLEWELYN AVE,4,PLN-262,NA,Full Demolition,,,BROADWAY EAST,FY19Q3,N,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2609,1504,57,2425,,LLEWELYN,AVE,2421-2427   LLEWELYN AVE,4,PLN-262,NA,Full Demolition,,,BROADWAY EAST,FY19Q3,N,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2609,1504,55,2421,,LLEWELYN,AVE,2421-2427   LLEWELYN AVE,4,PLN-262,NA,Full Demolition,,,BROADWAY EAST,FY19Q3,N,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2609,1504,58,2427,,LLEWELYN,AVE,2421-2427   LLEWELYN AVE,4,PLN-262,NA,Full Demolition,,,BROADWAY EAST,FY19Q3,N,BROADWAY EAST,Raze in FY19
Hold,2611,3814,44,2112,,GREENMOUNT,AVE,2112   GREENMOUNT ,1,,NA,Full Demolition,,,BARCLAY,,N,BARCLAY,on hold
DEMO Prep,2620,307,4,2106,,DIVISION,ST,2106   DIVISION ST,1,UNDECIDED,NA,Full Demolition,,,DRUID HEIGHTS,FY20Q1,N,DRUID HEIGHTS,FY20
Due Process,2625,3327C,4,3463,,COTTAGE,AVE,3459-3463   COTTAGE AVE,3,PLN-380,NA,Full Demolition,,,PARK CIRCLE,FY20Q1,N,PARK CIRCLE,FY20
Due Process,2625,3327C,5,3461,,COTTAGE,AVE,3459-3463   COTTAGE AVE,3,PLN-380,NA,Full Demolition,,,PARK CIRCLE,FY20Q1,N,PARK CIRCLE,FY20
Due Process,2625,3327C,6,3459,,COTTAGE,AVE,3459-3463   COTTAGE AVE,3,PLN-380,NA,Full Demolition,,,PARK CIRCLE,FY20Q1,N,PARK CIRCLE,FY20
Ready to Release to Contractor,2630,3327C,16,3439,,PARK HEIGHTS,AVE,3435 - 3441  PARK HEIGHTS AVE,4,PH MRA_ 163,NA,Full Demolition,,,PARK CIRCLE,FY19Q3,N,PARK CIRCLE,Raze in FY19
Ready to Release to Contractor,2630,3327C,17,3437,,PARK HEIGHTS,AVE,3435 - 3441  PARK HEIGHTS AVE,4,PH MRA_ 163,NA,Full Demolition,,,PARK CIRCLE,FY19Q3,N,PARK CIRCLE,Raze in FY19
Ready to Release to Contractor,2630,3327C,18,3435,,PARK HEIGHTS,AVE,3435 - 3441  PARK HEIGHTS AVE,4,PH MRA_ 163,NA,Full Demolition,,,PARK CIRCLE,FY19Q3,N,PARK CIRCLE,Raze in FY19
Ready to Release to Contractor,2630,3327C,15,3441,,PARK HEIGHTS,AVE,3435 - 3441  PARK HEIGHTS AVE,4,PH MRA_ 163,NA,Full Demolition,,,PARK CIRCLE,FY19Q3,N,PARK CIRCLE,Raze in FY19
Start Demo - Full,2631,699,2,410,S,MONROE,ST,408-410 S MONROE ST,2,EMG-261,NA,Emergency Full Demolition,8/16/18,,CARROLLTON RIDGE,FY19Q1,N,CARROLLTON RIDGE,Started but not complete
Start Demo - Full,2631,699,001A,408,S,MONROE,ST,408-410 S MONROE ST,2,EMG-261,NA,Emergency Full Demolition,8/16/18,,CARROLLTON RIDGE,FY19Q1,N,CARROLLTON RIDGE,Started but not complete
Final/Full Demo Complete,2640,1118,87,1620,N,BETHEL,ST,1620-1622 N BETHEL ST,2,PLN-380,NA,Full Demolition,6/25/18,8/13/18,OLIVER,FY18Q4,N,OLIVER,Completed
Final/Full Demo Complete,2640,1118,88,1622,N,BETHEL,ST,1620-1622 N BETHEL ST,2,PLN-380,NA,Full Demolition,6/25/18,8/13/18,OLIVER,FY18Q4,N,OLIVER,Completed
Final/Full Demo Complete,2642,2408,39,1500,,BRADDISH,AVE,1500   BRADDISH AVE,1,PLN-380,NA,Full Demolition,5/31/18,7/26/18,NORTHWEST COMMUNITY ACTION,FY18Q3,N,NORTHWEST COMMUNITY ACTION,Completed
Prep For Release,2652,3342,71,3904,,COTTAGE,AVE,3904-3908 & 3912   COTTAGE AVE,4,PH MRA_ 163,NA,Full Demolition,,,GREENSPRING,FY19Q4,N,GREENSPRING,Raze in FY19
Prep For Release,2652,3342,72,3906,,COTTAGE,AVE,3904-3908 & 3912   COTTAGE AVE,4,PH MRA_ 163,NA,Full Demolition,,,GREENSPRING,FY19Q4,N,GREENSPRING,Raze in FY19
Prep For Release,2652,3342,73,3908,,COTTAGE,AVE,3904-3908 & 3912   COTTAGE AVE,4,PH MRA_ 163,NA,Full Demolition,,,GREENSPRING,FY19Q4,N,GREENSPRING,Raze in FY19
Prep For Release,2652,3342,75,3912,,COTTAGE,AVE,3904-3908 & 3912   COTTAGE AVE,4,PH MRA_ 163,NA,Full Demolition,,,GREENSPRING,FY19Q4,N,GREENSPRING,Raze in FY19
Final/Full Demo Complete,2655,4584,12,3115,W,BELVEDERE,AVE,3113 - 3115 W BELVEDERE AVE,2,PH MRA_ 163,NA,Full Demolition,7/9/18,7/13/18,CENTRAL PARK HEIGHTS,FY19Q1,N,CENTRAL PARK HEIGHTS,Completed
Final/Full Demo Complete,2655,4584,13,3113,W,BELVEDERE,AVE,3113 - 3115 W BELVEDERE AVE,2,PH MRA_ 163,NA,Full Demolition,7/9/18,7/13/18,CENTRAL PARK HEIGHTS,FY19Q1,N,CENTRAL PARK HEIGHTS,Completed
Prep For Release,2656,2706,7,4103,,FERNHILL,AVE,4103  FERNHILL AVE,1,PLN-380,NA,Full Demolition,,,WEST ARLINGTON,FY19Q4,N,WEST ARLINGTON,Raze in FY19
Utility cut off,2658,2700,7,4701,W,BELVEDERE,AVE,4701   BELVEDERE AVE,1,PH MRA_ 163,NA,Full Demolition,,,WEST ARLINGTON,FY20Q1,N,WEST ARLINGTON,FY20
HABC,2661,1184,67,1015,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
HABC,2661,1184,68,1013,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
HABC,2661,1184,70,1009,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
HABC,2661,1184,71,1007,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
HABC,2661,1184,73,1003,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
HABC,2661,1184,74,1001,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
HABC,2661,1184,66,1017,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
HABC,2661,1184,69,1011,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
HABC,2661,1184,72,1005,,VALLEY,ST,1001 - 1017  VALLEY ST,9,UNDECIDED,3,Full Demolition,,,JOHNSTON SQUARE,FY20Q2,Y,JOHNSTON SQUARE,FY20
Utility cut off,2662,4018,42,2009,,GREENMOUNT,AVE,2001 - 2011  GREENMOUNT AVE,6,ProjectCore(19),3,Full Demolition,,,EAST BALTIMORE MIDWAY,FY20Q1,Y,EAST BALTIMORE MIDWAY,Raze in FY19
Utility cut off,2662,4018,45,2003,,GREENMOUNT,AVE,2001 - 2011  GREENMOUNT AVE,6,ProjectCore(19),3,Full Demolition,,,EAST BALTIMORE MIDWAY,FY20Q1,Y,EAST BALTIMORE MIDWAY,Raze in FY19
Utility cut off,2662,4018,41,2011,,GREENMOUNT,AVE,2001 - 2011  GREENMOUNT AVE,6,ProjectCore(19),3,Full Demolition,,,EAST BALTIMORE MIDWAY,FY20Q1,Y,EAST BALTIMORE MIDWAY,Raze in FY19
Utility cut off,2662,4018,44,2005,,GREENMOUNT,AVE,2001 - 2011  GREENMOUNT AVE,6,ProjectCore(19),3,Full Demolition,,,EAST BALTIMORE MIDWAY,FY20Q1,Y,EAST BALTIMORE MIDWAY,Raze in FY19
Utility cut off,2662,4018,43,2007,,GREENMOUNT,AVE,2001 - 2011  GREENMOUNT AVE,6,ProjectCore(19),3,Full Demolition,,,EAST BALTIMORE MIDWAY,FY20Q1,Y,EAST BALTIMORE MIDWAY,Raze in FY19
Utility cut off,2662,4018,46,2001,,GREENMOUNT,AVE,2001 - 2011  GREENMOUNT AVE,6,ProjectCore(19),3,Full Demolition,,,EAST BALTIMORE MIDWAY,FY20Q1,Y,EAST BALTIMORE MIDWAY,Raze in FY19
DEMO Prep,2663,1499,33,1404,N,CHESTER,ST,1402 - 1408 N CHESTER ST,4,UNDECIDED,3,Full Demolition,,,BROADWAY EAST,FY20Q2,Y,BROADWAY EAST,FY20
DEMO Prep,2663,1499,32,1402,N,CHESTER,ST,1402 - 1408 N CHESTER ST,4,UNDECIDED,3,Full Demolition,,,BROADWAY EAST,FY20Q2,Y,BROADWAY EAST,FY20
DEMO Prep,2663,1499,35,1408,N,CHESTER,ST,1402 - 1408 N CHESTER ST,4,UNDECIDED,3,Full Demolition,,,BROADWAY EAST,FY20Q2,Y,BROADWAY EAST,FY20
DEMO Prep,2663,1499,34,1406,N,CHESTER,ST,1402 - 1408 N CHESTER ST,4,UNDECIDED,3,Full Demolition,,,BROADWAY EAST,FY20Q2,Y,BROADWAY EAST,FY20
Final/Full Demo Complete,2664,1499,31,2060,E,HOFFMAN,ST,2058 - 2060 E HOFFMAN ST,2,ProjectCore(19),3,Full Demolition,10/1/18,10/30/18,BROADWAY EAST,FY19Q2,Y,BROADWAY EAST,Completed
Final/Full Demo Complete,2664,1499,30,2058,E,HOFFMAN,ST,2058 - 2060 E HOFFMAN ST,2,ProjectCore(19),3,Full Demolition,10/1/18,10/30/18,BROADWAY EAST,FY19Q2,Y,BROADWAY EAST,Completed
Land Resources,2665,1501,27,1413,N,CHESTER,ST,1407 - 1413 N CHESTER ST,4,PROJECTCORE(17),3,Full Demolition,,,BROADWAY EAST,FY20Q3,Y,BROADWAY EAST,FY20
Land Resources,2665,1501,29,1409,N,CHESTER,ST,1407 - 1413 N CHESTER ST,4,PROJECTCORE(17),3,Full Demolition,,,BROADWAY EAST,FY20Q3,Y,BROADWAY EAST,FY20
Land Resources,2665,1501,30,1407,N,CHESTER,ST,1407 - 1413 N CHESTER ST,4,PROJECTCORE(17),3,Full Demolition,,,BROADWAY EAST,FY20Q3,Y,BROADWAY EAST,FY20
Land Resources,2665,1501,28,1411,N,CHESTER,ST,1407 - 1413 N CHESTER ST,4,PROJECTCORE(17),3,Full Demolition,,,BROADWAY EAST,FY20Q3,Y,BROADWAY EAST,FY20
Prep For Release,2667,5205,12,926,,SPRINGFIELD,AVE,0926  SPRINGFIELD AVE,1,PLN-390,NA,Full Demolition,,,PEN LUCY,FY19Q3,N,PEN LUCY,Raze in FY19
Release to Contractor(Whole Group),2668,1464,84,1717,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,87,1723,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,90,1729,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,93,1735,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,77,1703,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,79,1707,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,80,1709,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,82,1713,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,83,1715,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,85,1719,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,86,1721,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,88,1725,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,91,1731,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,78,1705,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,81,1711,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,89,1727,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Release to Contractor(Whole Group),2668,1464,92,1733,N,MONTFORD,AVE,1703 - 1735 N MONTFORD AVE,17,ProjectCore(19),3,Full Demolition,,,BROADWAY EAST,FY19Q3,Y,BROADWAY EAST,Raze in FY19
Start Demo - Full,2669,194,42,4,N,MOUNT,ST,0004 - 0016 N MOUNT ST,7,PROJECTCORE(17),3,Full Demolition,2/21/19,,FRANKLIN SQUARE,FY18Q4,N,FRANKLIN SQUARE,Raze in FY19
Start Demo - Full,2669,194,45,10,N,MOUNT,ST,0004 - 0016 N MOUNT ST,7,PROJECTCORE(17),3,Full Demolition,2/21/19,,FRANKLIN SQUARE,FY18Q4,N,FRANKLIN SQUARE,Raze in FY19
Start Demo - Full,2669,194,47,14,N,MOUNT,ST,0004 - 0016 N MOUNT ST,7,PROJECTCORE(17),3,Full Demolition,2/21/19,,FRANKLIN SQUARE,FY18Q4,N,FRANKLIN SQUARE,Raze in FY19
Start Demo - Full,2669,194,48,16,N,MOUNT,ST,0004 - 0016 N MOUNT ST,7,PROJECTCORE(17),3,Full Demolition,2/21/19,,FRANKLIN SQUARE,FY18Q4,N,FRANKLIN SQUARE,Raze in FY19
Start Demo - Full,2669,194,43,6,N,MOUNT,ST,0004 - 0016 N MOUNT ST,7,PROJECTCORE(17),3,Full Demolition,2/21/19,,FRANKLIN SQUARE,FY18Q4,N,FRANKLIN SQUARE,Raze in FY19
Start Demo - Full,2669,194,46,12,N,MOUNT,ST,0004 - 0016 N MOUNT ST,7,PROJECTCORE(17),3,Full Demolition,2/21/19,,FRANKLIN SQUARE,FY18Q4,N,FRANKLIN SQUARE,Raze in FY19
Start Demo - Full,2669,194,44,8,N,MOUNT,ST,0004 - 0016 N MOUNT ST,7,PROJECTCORE(17),3,Full Demolition,2/21/19,,FRANKLIN SQUARE,FY18Q4,N,FRANKLIN SQUARE,Raze in FY19
Hold,2670,148,19,1814,W,SARATOGA,ST,1802 - 1816 W SARATOGA ST,8,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY19Q3,N,FRANKLIN SQUARE,on hold
Hold,2670,148,22,1808,W,SARATOGA,ST,1802 - 1816 W SARATOGA ST,8,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY19Q3,N,FRANKLIN SQUARE,on hold
Hold,2670,148,25,1802,W,SARATOGA,ST,1802 - 1816 W SARATOGA ST,8,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY19Q3,N,FRANKLIN SQUARE,on hold
Hold,2670,148,18,1816,W,SARATOGA,ST,1802 - 1816 W SARATOGA ST,8,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY19Q3,N,FRANKLIN SQUARE,on hold
Hold,2670,148,20,1812,W,SARATOGA,ST,1802 - 1816 W SARATOGA ST,8,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY19Q3,N,FRANKLIN SQUARE,on hold
Hold,2670,148,21,1810,W,SARATOGA,ST,1802 - 1816 W SARATOGA ST,8,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY19Q3,N,FRANKLIN SQUARE,on hold
Hold,2670,148,23,1806,W,SARATOGA,ST,1802 - 1816 W SARATOGA ST,8,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY19Q3,N,FRANKLIN SQUARE,on hold
Hold,2670,148,24,1804,W,SARATOGA,ST,1802 - 1816 W SARATOGA ST,8,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY19Q3,N,FRANKLIN SQUARE,on hold
Land Resources,2671,148,66,317,N,MONROE,ST,0317 - 0321 N MONROE ST,3,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY20Q2,Y,FRANKLIN SQUARE,FY20
Land Resources,2671,148,65,319,N,MONROE,ST,0317 - 0321 N MONROE ST,3,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY20Q2,Y,FRANKLIN SQUARE,FY20
Land Resources,2671,148,64,321,N,MONROE,ST,0317 - 0321 N MONROE ST,3,PROJECTCORE(17),3,Full Demolition,,,FRANKLIN SQUARE,FY20Q2,Y,FRANKLIN SQUARE,FY20
Remediation,2672,205,71,2121,,BOOTH,ST,2117 - 2123  BOOTH ST,4,ProjectCore(19),3,Full Demolition,,,BOOTH-BOYD,FY19Q4,Y,BOOTH-BOYD,Raze in FY19
Remediation,2672,205,70,2119,,BOOTH,ST,2117 - 2123  BOOTH ST,4,ProjectCore(19),3,Full Demolition,,,BOOTH-BOYD,FY19Q4,Y,BOOTH-BOYD,Raze in FY19
Remediation,2672,205,72,2123,,BOOTH,ST,2117 - 2123  BOOTH ST,4,ProjectCore(19),3,Full Demolition,,,BOOTH-BOYD,FY19Q4,Y,BOOTH-BOYD,Raze in FY19
