block,buildingaddress,councildistrict,location,lot,neighborhood,noticedate,policedistrict,referenceid
0121,1727 EDMONDSON AVE,9,"(39.29500432, -76.6450256)",029,Harlem Park,2018-10-28T04:00:00Z,Western,0121 029 102818
0121,1700 W FRANKLIN ST,9,"(39.29413633, -76.64424226)",069,Harlem Park,2018-10-29T04:00:00Z,Western,0121 069 102918
0122,1608 W FRANKLIN ST,9,"(39.29416169, -76.6432457)",068,Harlem Park,2018-10-07T04:00:00Z,Western,0122 068 100718
0126,534 N CARROLLTON AVE,9,"(39.29516067, -76.63737329)",017,Harlem Park,2018-09-30T04:00:00Z,Western,0126 017 093018
0127,1120 W FRANKLIN ST,9,"(39.29446174, -76.63622613)",008,Harlem Park,2018-12-24T05:00:00Z,Western,0127 008 122418
0128,513 N ARLINGTON AVE,9,"(39.29480031, -76.63535103)",027,Harlem Park,2018-12-30T05:00:00Z,Western,0128 027 123018
0128,1017 BENNETT PL,9,"(39.2947244, -76.63484408)",088,Harlem Park,2018-09-16T04:00:00Z,Western,0128 088 091618
0128,1007 BENNETT PL,9,"(39.29473708, -76.6346001)",093,Harlem Park,2018-11-04T04:00:00Z,Western,0128 093 110418
0146,2038 W SARATOGA ST,9,"(39.2920813, -76.65009318)",020,Penrose/Fayette Street Outreach,2019-01-08T05:00:00Z,Western,0146 020 010819
0147,1943 W MULBERRY ST,9,"(39.2926841, -76.64840551)",022,Penrose/Fayette Street Outreach,2019-01-08T05:00:00Z,Western,0147 022 010819
0148,1814 W SARATOGA ST,9,"(39.29219657, -76.64589473)",019,Franklin Square,2018-10-23T04:00:00Z,Western,0148 019 102318
0148,1835 W MULBERRY ST,9,"(39.29274285, -76.64669579)",056,Franklin Square,2018-12-16T05:00:00Z,Western,0148 056 121618
0152,329 N STRICKER ST,9,"(39.29279689, -76.64091648)",015,Franklin Square,2019-01-12T05:00:00Z,Western,0152 015 011219
0152,318 N CALHOUN ST,9,"(39.29268138, -76.64007487)",041,Franklin Square,2019-01-06T05:00:00Z,Western,0152 041 010619
