block,buildingaddress,councildistrict,location,lot,neighborhood,noticedate,policedistrict,referenceid
0001,2041 W NORTH AVE,7,"(39.30941765, -76.65104057)",003,EASTERWOOD,2012-01-25T05:00:00Z,WESTERN,0001 003 012512
0001,2035 W NORTH AVE,7,"(39.30942276, -76.65089166)",006,EASTERWOOD,2014-12-02T05:00:00Z,WESTERN,0001 006 120214
0001,2033 W NORTH AVE,7,"(39.30942443, -76.65084103)",007,EASTERWOOD,2013-02-01T05:00:00Z,WESTERN,0001 007 020113
0001,2031 W NORTH AVE,7,"(39.30942603, -76.65079304)",008,EASTERWOOD,2015-07-01T04:00:00Z,WESTERN,0001 008 070115
0001,2017 W NORTH AVE,7,"(39.30943944, -76.65044524)",015,EASTERWOOD,2016-01-28T05:00:00Z,WESTERN,0001 015 012816
0001,1810 N PAYSON ST,7,"(39.30902061, -76.65010741)",026,EASTERWOOD,2010-12-14T05:00:00Z,WESTERN,0001 026 121410
0001,1806 N PAYSON ST,7,"(39.30894358, -76.65010312)",028,EASTERWOOD,2008-02-08T05:00:00Z,WESTERN,0001 028 020808
0001,1800 N PAYSON ST,7,"(39.30882778, -76.65009692)",031,EASTERWOOD,2011-01-18T05:00:00Z,WESTERN,0001 031 011811
0001,2008 WESTWOOD AVE,7,"(39.30890951, -76.65050027)",033C,EASTERWOOD,2014-07-16T04:00:00Z,WESTERN,0001 033C 071614
0001,2010 WESTWOOD AVE,7,"(39.3089078, -76.65054943)",033D,EASTERWOOD,2010-09-01T04:00:00Z,WESTERN,0001 033D 090110
0001,1807 N PULASKI ST,7,"(39.30891011, -76.6510026)",037,EASTERWOOD,2014-09-25T04:00:00Z,WESTERN,0001 037 092514
0001,1811 N PULASKI ST,7,"(39.30898686, -76.65100691)",039,EASTERWOOD,2007-09-04T04:00:00Z,WESTERN,0001 039 090407
0001,1813 N PULASKI ST,7,"(39.30902509, -76.65100906)",040,EASTERWOOD,2011-07-28T04:00:00Z,WESTERN,0001 040 072811
0001,1819 N PULASKI ST,7,"(39.3091383, -76.65101541)",043,EASTERWOOD,2006-04-18T04:00:00Z,WESTERN,0001 043 041806
0001,1825 N PULASKI ST,7,"(39.3092531, -76.6510226)",046,EASTERWOOD,2007-12-19T05:00:00Z,WESTERN,0001 046 121907
0002,1802 N MONROE ST,7,"(39.30892564, -76.64837658)",002,EASTERWOOD,2011-05-10T04:00:00Z,WESTERN,0002 002 051011
0002,1818 N MONROE ST,7,"(39.30921984, -76.64839357)",010,EASTERWOOD,2007-09-28T04:00:00Z,WESTERN,0002 010 092807
0002,1824 N MONROE ST,7,"(39.30933035, -76.6483999)",013,EASTERWOOD,2013-02-22T05:00:00Z,WESTERN,0002 013 022213
0002,1901 W NORTH AVE,7,"(39.30953616, -76.6482863)",015,EASTERWOOD,2008-02-14T05:00:00Z,WESTERN,0002 015 021408
0002,1907 W NORTH AVE,7,"(39.30952858, -76.64843751)",018,EASTERWOOD,2009-05-13T04:00:00Z,WESTERN,0002 018 051309
0002,1917 W NORTH AVE,7,"(39.30951592, -76.64868639)",023,EASTERWOOD,2010-12-14T05:00:00Z,WESTERN,0002 023 121410
0002,1923 W NORTH AVE,7,"(39.30950836, -76.6488286)",026,EASTERWOOD,2015-11-18T05:00:00Z,WESTERN,0002 026 111815
0002,1937 W NORTH AVE,7,"(39.30948269, -76.64933806)",032,EASTERWOOD,2005-02-08T05:00:00Z,WESTERN,0002 032 020805
0002,1943 W NORTH AVE,7,"(39.3094751, -76.64948699)",035,EASTERWOOD,2009-05-01T04:00:00Z,WESTERN,0002 035 050109
0002,1945 W NORTH AVE,7,"(39.30947261, -76.64953589)",036,EASTERWOOD,2014-02-28T05:00:00Z,WESTERN,0002 036 022814
0002,1947 W NORTH AVE,7,"(39.30947009, -76.64958516)",037,EASTERWOOD,2015-01-14T05:00:00Z,WESTERN,0002 037 011415
0002,1949 W NORTH AVE,7,"(39.30946762, -76.64963362)",038,EASTERWOOD,2014-08-08T04:00:00Z,WESTERN,0002 038 080814
0002,1825 N PAYSON ST,7,"(39.30930496, -76.64960009)",041,EASTERWOOD,2011-06-16T04:00:00Z,WESTERN,0002 041 061611
0002,1821 N PAYSON ST,7,"(39.30922834, -76.64959474)",043,EASTERWOOD,2006-06-12T04:00:00Z,WESTERN,0002 043 061206
0002,1819 N PAYSON ST,7,"(39.30918986, -76.64959636)",044,EASTERWOOD,2014-04-04T04:00:00Z,WESTERN,0002 044 040414
0002,1809 N PAYSON ST,7,"(39.30900158, -76.64958242)",049,EASTERWOOD,2010-06-22T04:00:00Z,WESTERN,0002 049 062210
0002,1806 APPLETON ST,7,"(39.30896761, -76.64923483)",057,EASTERWOOD,2009-06-11T04:00:00Z,WESTERN,0002 057 061109
0002,1820 APPLETON ST,7,"(39.3092149, -76.64924871)",064,EASTERWOOD,2005-08-16T04:00:00Z,WESTERN,0002 064 081605
0003,1820 N FULTON AVE,7,"(39.30934412, -76.64689818)",011,SANDTOWN-WINCHESTER,2007-04-10T04:00:00Z,WESTERN,0003 011 041007
0003,1822 N FULTON AVE,7,"(39.30938388, -76.6469046)",012,SANDTOWN-WINCHESTER,2009-09-17T04:00:00Z,WESTERN,0003 012 091709
0003,1826 N FULTON AVE,7,"(39.30946968, -76.64674564)",014,SANDTOWN-WINCHESTER,2012-04-24T04:00:00Z,WESTERN,0003 014 042412
0003,1807 W NORTH AVE,7,"(39.30962804, -76.64676522)",018,SANDTOWN-WINCHESTER,2013-04-18T04:00:00Z,WESTERN,0003 018 041813
0003,1809 W NORTH AVE,7,"(39.30962577, -76.6468157)",019,SANDTOWN-WINCHESTER,2011-08-18T04:00:00Z,WESTERN,0003 019 081811
0003,1811 W NORTH AVE,7,"(39.30962334, -76.64686611)",020,SANDTOWN-WINCHESTER,2008-03-18T04:00:00Z,WESTERN,0003 020 031808
0003,1821 W NORTH AVE,7,"(39.30961495, -76.64711688)",025,SANDTOWN-WINCHESTER,2014-04-04T04:00:00Z,WESTERN,0003 025 040414
0003,1827 W NORTH AVE,7,"(39.30958463, -76.64733631)",028,SANDTOWN-WINCHESTER,2011-04-08T04:00:00Z,WESTERN,0003 028 040811
0003,1831 W NORTH AVE,7,"(39.30957772, -76.64743888)",030,SANDTOWN-WINCHESTER,2011-03-09T05:00:00Z,WESTERN,0003 030 030911
0003,1833 W NORTH AVE,7,"(39.30957775, -76.64748932)",031,SANDTOWN-WINCHESTER,2013-05-24T04:00:00Z,WESTERN,0003 031 052413
0003,1835 W NORTH AVE,7,"(39.30957237, -76.64754038)",032,SANDTOWN-WINCHESTER,2005-08-16T04:00:00Z,WESTERN,0003 032 081605
0003,1837 W NORTH AVE,7,"(39.30957058, -76.64758941)",033,SANDTOWN-WINCHESTER,2012-01-25T05:00:00Z,WESTERN,0003 033 012512
0003,1851 W NORTH AVE,7,"(39.30954764, -76.64795046)",040,SANDTOWN-WINCHESTER,2006-11-30T05:00:00Z,WESTERN,0003 040 113006
0003,1853 W NORTH AVE,7,"(39.30954583, -76.64800212)",041,SANDTOWN-WINCHESTER,2009-09-08T04:00:00Z,WESTERN,0003 041 090809
0003,1827 N MONROE ST,7,"(39.30938256, -76.64785843)",042,SANDTOWN-WINCHESTER,2015-06-04T04:00:00Z,WESTERN,0003 042 060415
0003,1821 N MONROE ST,7,"(39.30926741, -76.6478526)",045,SANDTOWN-WINCHESTER,2012-05-15T04:00:00Z,WESTERN,0003 045 051512
0003,1817 N MONROE ST,7,"(39.30918991, -76.6478481)",047,SANDTOWN-WINCHESTER,2004-11-11T05:00:00Z,WESTERN,0003 047 111104
0003,1832 WESTWOOD AVE,7,"(39.30903364, -76.64750305)",058,SANDTOWN-WINCHESTER,2002-04-16T04:00:00Z,WESTERN,0003 058 041602
0004,1815 N FULTON AVE,7,"(39.30925954, -76.64595127)",008,SANDTOWN-WINCHESTER,2013-12-20T05:00:00Z,WESTERN,0004 008 122013
0004,1821 N FULTON AVE,7,"(39.30938101, -76.64596069)",011,SANDTOWN-WINCHESTER,2013-12-13T05:00:00Z,WESTERN,0004 011 121313
0004,1823 N FULTON AVE,7,"(39.30942069, -76.64596302)",012,SANDTOWN-WINCHESTER,2014-03-17T04:00:00Z,WESTERN,0004 012 031714
0004,1723 W NORTH AVE,7,"(39.3096761, -76.6457407)",024,SANDTOWN-WINCHESTER,2012-04-19T04:00:00Z,WESTERN,0004 024 041912
0004,1719 W NORTH AVE,7,"(39.30968342, -76.64557133)",026,SANDTOWN-WINCHESTER,2006-09-28T04:00:00Z,WESTERN,0004 026 092806
0004,1715 W NORTH AVE,7,"(39.30968689, -76.64547111)",028,SANDTOWN-WINCHESTER,2014-04-17T04:00:00Z,WESTERN,0004 028 041714
0004,1713 W NORTH AVE,7,"(39.30969241, -76.64542203)",029,SANDTOWN-WINCHESTER,2006-08-24T04:00:00Z,WESTERN,0004 029 082406
0004,1711 W NORTH AVE,7,"(39.3096909, -76.64537141)",030,SANDTOWN-WINCHESTER,2012-04-19T04:00:00Z,WESTERN,0004 030 041912
0004,1828 N MOUNT ST,7,"(39.3095378, -76.64536277)",036,SANDTOWN-WINCHESTER,2007-03-12T04:00:00Z,WESTERN,0004 036 031207
0004,1826 N MOUNT ST,7,"(39.30949931, -76.64536295)",037,SANDTOWN-WINCHESTER,2008-02-26T05:00:00Z,WESTERN,0004 037 022608
0005,1645 W NORTH AVE,7,"(39.30976006, -76.6439081)",003,SANDTOWN-WINCHESTER,2014-03-13T04:00:00Z,WESTERN,0005 003 031314
0005,1653 W NORTH AVE,7,"(39.30975443, -76.64410863)",007,SANDTOWN-WINCHESTER,2008-03-18T04:00:00Z,WESTERN,0005 007 031808
0005,1663 W NORTH AVE,7,"(39.30973601, -76.64438376)",011,SANDTOWN-WINCHESTER,2009-03-13T04:00:00Z,WESTERN,0005 011 031309
0005,1809 N MOUNT ST,7,"(39.30915877, -76.6446923)",032,SANDTOWN-WINCHESTER,2011-07-08T04:00:00Z,WESTERN,0005 032 070811
0005,1634 WESTWOOD AVE,7,"(39.30904354, -76.64445861)",037,SANDTOWN-WINCHESTER,2008-10-27T04:00:00Z,WESTERN,0005 037 102708
0006,2001 WESTWOOD AVE,7,"(39.30848512, -76.6502872)",021,EASTERWOOD,2005-10-20T04:00:00Z,WESTERN,0006 021 102005
0006,2009 WESTWOOD AVE,7,"(39.3084778, -76.65049488)",025,EASTERWOOD,2008-02-08T05:00:00Z,WESTERN,0006 025 020808
0006,2011 WESTWOOD AVE,7,"(39.308476, -76.65054435)",026,EASTERWOOD,2010-08-20T04:00:00Z,WESTERN,0006 026 082010
0006,2019 WESTWOOD AVE,7,"(39.30848696, -76.65074568)",028B,EASTERWOOD,2016-02-05T05:00:00Z,WESTERN,0006 028B 020516
0006,1705 N PULASKI ST,7,"(39.30794755, -76.65092942)",029B,EASTERWOOD,2009-07-07T04:00:00Z,WESTERN,0006 029B 070709
0006,2002 PRESBURY ST,7,"(39.30800597, -76.65030361)",032,EASTERWOOD,2009-01-15T05:00:00Z,WESTERN,0006 032 011509
0006,2016 PRESBURY ST,7,"(39.30797056, -76.65066447)",038A,EASTERWOOD,2010-10-29T04:00:00Z,WESTERN,0006 038A 102910
0007,1704 N MONROE ST,7,"(39.3080358, -76.64832558)",003,EASTERWOOD,2009-02-27T05:00:00Z,WESTERN,0007 003 022709
0007,1706 N MONROE ST,7,"(39.30807267, -76.64832762)",004,EASTERWOOD,2014-03-12T04:00:00Z,WESTERN,0007 004 031214
0007,1712 N MONROE ST,7,"(39.3081847, -76.64833375)",007,EASTERWOOD,2007-10-11T04:00:00Z,WESTERN,0007 007 101107
0007,1720 N MONROE ST,7,"(39.30833234, -76.64834185)",011,EASTERWOOD,2007-08-16T04:00:00Z,WESTERN,0007 011 081607
0007,1730 N MONROE ST,7,"(39.30851866, -76.64835204)",016,EASTERWOOD,2009-04-24T04:00:00Z,WESTERN,0007 016 042409
0007,1732 N MONROE ST,7,"(39.30855593, -76.6483541)",017,EASTERWOOD,2011-12-06T05:00:00Z,WESTERN,0007 017 120611
0007,1703 APPLETON ST,7,"(39.30798565, -76.64866608)",038,EASTERWOOD,2009-08-31T04:00:00Z,WESTERN,0007 038 083109
0007,1704 APPLETON ST,7,"(39.30800929, -76.64918212)",042,EASTERWOOD,2011-03-15T04:00:00Z,WESTERN,0007 042 031511
0007,1726 APPLETON ST,7,"(39.30841552, -76.64920351)",053,EASTERWOOD,2015-12-29T05:00:00Z,WESTERN,0007 053 122915
0007,1730 APPLETON ST,7,"(39.30848988, -76.64920746)",055,EASTERWOOD,2008-01-08T05:00:00Z,WESTERN,0007 055 010808
0007,1731 N PAYSON ST,7,"(39.30847694, -76.64954896)",064,EASTERWOOD,2015-09-04T04:00:00Z,WESTERN,0007 064 090415
0007,1709 N PAYSON ST,7,"(39.30806836, -76.64952698)",075,EASTERWOOD,2012-05-02T04:00:00Z,WESTERN,0007 075 050212
0007,1707 N PAYSON ST,7,"(39.30803073, -76.64952504)",076,EASTERWOOD,2010-04-29T04:00:00Z,WESTERN,0007 076 042910
0008,1708 N FULTON AVE,7,"(39.30817487, -76.64665053)",005,SANDTOWN-WINCHESTER,2008-01-04T05:00:00Z,WESTERN,0008 005 010408
0008,1710 N FULTON AVE,7,"(39.30821525, -76.64665202)",006,SANDTOWN-WINCHESTER,2008-04-09T04:00:00Z,WESTERN,0008 006 040908
0008,1714 N FULTON AVE,7,"(39.30829475, -76.64665552)",008,SANDTOWN-WINCHESTER,2014-04-17T04:00:00Z,WESTERN,0008 008 041714
0008,1732 N FULTON AVE,7,"(39.30864782, -76.64667382)",017,SANDTOWN-WINCHESTER,2011-08-19T04:00:00Z,WESTERN,0008 017 081911
0008,1736 N FULTON AVE,7,"(39.30872679, -76.64668092)",019,SANDTOWN-WINCHESTER,2007-07-27T04:00:00Z,WESTERN,0008 019 072707
0008,1701 MCKEAN AVE,7,"(39.30800508, -76.64696709)",020,SANDTOWN-WINCHESTER,2012-06-04T04:00:00Z,WESTERN,0008 020 060412
0008,1703 MCKEAN AVE,7,"(39.30803749, -76.64697126)",021,SANDTOWN-WINCHESTER,2008-02-21T05:00:00Z,WESTERN,0008 021 022108
0008,1707 MCKEAN AVE,7,"(39.30810366, -76.64697154)",023,SANDTOWN-WINCHESTER,2009-08-12T04:00:00Z,WESTERN,0008 023 081209
0008,1711 MCKEAN AVE,7,"(39.3081746, -76.64697678)",025,SANDTOWN-WINCHESTER,2008-02-21T05:00:00Z,WESTERN,0008 025 022108
0008,1713 MCKEAN AVE,7,"(39.30820867, -76.646978)",026,SANDTOWN-WINCHESTER,2006-02-06T05:00:00Z,WESTERN,0008 026 020606
0008,1719 MCKEAN AVE,7,"(39.30830977, -76.64698343)",029,SANDTOWN-WINCHESTER,2012-07-18T04:00:00Z,WESTERN,0008 029 071812
0008,1725 MCKEAN AVE,7,"(39.30841176, -76.64699099)",032,SANDTOWN-WINCHESTER,2009-04-22T04:00:00Z,WESTERN,0008 032 042209
0008,1727 MCKEAN AVE,7,"(39.30844614, -76.64699297)",033,SANDTOWN-WINCHESTER,2009-06-29T04:00:00Z,WESTERN,0008 033 062909
0008,1731 MCKEAN AVE,7,"(39.30851413, -76.64699693)",035,SANDTOWN-WINCHESTER,2008-03-13T04:00:00Z,WESTERN,0008 035 031308
0008,1700 MCKEAN AVE,7,"(39.30798978, -76.64746426)",042,SANDTOWN-WINCHESTER,2012-06-01T04:00:00Z,WESTERN,0008 042 060112
0008,1704 MCKEAN AVE,7,"(39.30806035, -76.64747036)",044,SANDTOWN-WINCHESTER,2004-11-11T05:00:00Z,WESTERN,0008 044 111104
0008,1706 MCKEAN AVE,7,"(39.30809627, -76.64747002)",045,SANDTOWN-WINCHESTER,2009-04-15T04:00:00Z,WESTERN,0008 045 041509
0008,1708 MCKEAN AVE,7,"(39.3081307, -76.64747738)",046,SANDTOWN-WINCHESTER,2007-09-24T04:00:00Z,WESTERN,0008 046 092407
0008,1710 MCKEAN AVE,7,"(39.30816692, -76.6474771)",047,SANDTOWN-WINCHESTER,2008-07-31T04:00:00Z,WESTERN,0008 047 073108
0008,1712 MCKEAN AVE,7,"(39.30820365, -76.6474755)",048,SANDTOWN-WINCHESTER,2009-08-13T04:00:00Z,WESTERN,0008 048 081309
0008,1714 MCKEAN AVE,7,"(39.30823855, -76.64748035)",049,SANDTOWN-WINCHESTER,2008-01-30T05:00:00Z,WESTERN,0008 049 013008
0008,1716 MCKEAN AVE,7,"(39.3082727, -76.64748383)",050,SANDTOWN-WINCHESTER,2009-02-23T05:00:00Z,WESTERN,0008 050 022309
0008,1718 MCKEAN AVE,7,"(39.3083096, -76.64748706)",051,SANDTOWN-WINCHESTER,2011-05-11T04:00:00Z,WESTERN,0008 051 051111
0008,1726 MCKEAN AVE,7,"(39.30845187, -76.64749484)",055,SANDTOWN-WINCHESTER,2008-03-13T04:00:00Z,WESTERN,0008 055 031308
0008,1728 MCKEAN AVE,7,"(39.30848851, -76.6474967)",056,SANDTOWN-WINCHESTER,2009-04-22T04:00:00Z,WESTERN,0008 056 042209
0008,1802 PRESBURY ST,7,"(39.30806488, -76.64771603)",064,SANDTOWN-WINCHESTER,2008-10-23T04:00:00Z,WESTERN,0008 064 102308
0008,1806 PRESBURY ST,7,"(39.30806059, -76.64781046)",066,SANDTOWN-WINCHESTER,2008-02-29T05:00:00Z,WESTERN,0008 066 022908
0008,1808 PRESBURY ST,7,"(39.30805941, -76.6478605)",067,SANDTOWN-WINCHESTER,2013-11-08T05:00:00Z,WESTERN,0008 067 110813
0008,1810 PRESBURY ST,7,"(39.30805757, -76.64791274)",068,SANDTOWN-WINCHESTER,2009-06-10T04:00:00Z,WESTERN,0008 068 061009
0008,1711 N MONROE ST,7,"(39.30839355, -76.64781118)",074,SANDTOWN-WINCHESTER,2008-05-17T04:00:00Z,WESTERN,0008 074 051708
0009,1709 N FULTON AVE,7,"(39.30820896, -76.64600274)",005,SANDTOWN-WINCHESTER,2013-03-22T04:00:00Z,WESTERN,0009 005 032213
0009,1711 N FULTON AVE,7,"(39.30825036, -76.64601039)",006,SANDTOWN-WINCHESTER,2014-06-25T04:00:00Z,WESTERN,0009 006 062514
0009,1713 N FULTON AVE,7,"(39.30829047, -76.64601068)",007,SANDTOWN-WINCHESTER,2012-08-20T04:00:00Z,WESTERN,0009 007 082012
0009,1719 N FULTON AVE,7,"(39.30841609, -76.64601939)",010,SANDTOWN-WINCHESTER,2016-02-11T05:00:00Z,WESTERN,0009 010 021116
0009,1727 WESTWOOD AVE,7,"(39.30866269, -76.64578657)",021,SANDTOWN-WINCHESTER,2008-02-04T05:00:00Z,WESTERN,0009 021 020408
0009,1725 WESTWOOD AVE,7,"(39.30866456, -76.64573706)",022,SANDTOWN-WINCHESTER,2012-05-15T04:00:00Z,WESTERN,0009 022 051512
0009,1721 WESTWOOD AVE,7,"(39.30867569, -76.64556813)",024,SANDTOWN-WINCHESTER,2007-08-09T04:00:00Z,WESTERN,0009 024 080907
0009,1719 WESTWOOD AVE,7,"(39.30867757, -76.645519)",025,SANDTOWN-WINCHESTER,2008-03-04T05:00:00Z,WESTERN,0009 025 030408
0009,1707 WESTWOOD AVE,7,"(39.30868471, -76.64521986)",031,SANDTOWN-WINCHESTER,2008-12-05T05:00:00Z,WESTERN,0009 031 120508
0009,1703 WESTWOOD AVE,7,"(39.30868774, -76.64511791)",033,SANDTOWN-WINCHESTER,2012-08-20T04:00:00Z,WESTERN,0009 033 082012
0009,1722 N MOUNT ST,7,"(39.30848991, -76.64516322)",037,SANDTOWN-WINCHESTER,2007-08-16T04:00:00Z,WESTERN,0009 037 081607
0009,1720 N MOUNT ST,7,"(39.30845721, -76.64516227)",038,SANDTOWN-WINCHESTER,2015-10-05T04:00:00Z,WESTERN,0009 038 100515
0009,1714 N MOUNT ST,7,"(39.30835726, -76.64515807)",041,SANDTOWN-WINCHESTER,2004-11-11T05:00:00Z,WESTERN,0009 041 111104
0009,1703 N BRUCE ST,7,"(39.30833071, -76.64544721)",061,SANDTOWN-WINCHESTER,2007-11-13T05:00:00Z,WESTERN,0009 061 111307
0009,1705 N BRUCE ST,7,"(39.30836346, -76.64544944)",062,SANDTOWN-WINCHESTER,2007-11-13T05:00:00Z,WESTERN,0009 062 111307
0009,1707 N BRUCE ST,7,"(39.3083961, -76.64544933)",063,SANDTOWN-WINCHESTER,2009-07-01T04:00:00Z,WESTERN,0009 063 070109
0009,1709 N BRUCE ST,7,"(39.30842905, -76.64545086)",064,SANDTOWN-WINCHESTER,2014-05-23T04:00:00Z,WESTERN,0009 064 052314
0009,1713 N BRUCE ST,7,"(39.30849607, -76.64545515)",066,SANDTOWN-WINCHESTER,2009-07-02T04:00:00Z,WESTERN,0009 066 070209
0010,1708 N CALHOUN ST,7,"(39.30818172, -76.64408395)",004,SANDTOWN-WINCHESTER,2015-12-11T05:00:00Z,WESTERN,0010 004 121115
0010,1730 N CALHOUN ST,7,"(39.30844942, -76.64439674)",015,SANDTOWN-WINCHESTER,2006-03-23T05:00:00Z,WESTERN,0010 015 032306
0010,1732 N CALHOUN ST,7,"(39.30846776, -76.64443619)",016,SANDTOWN-WINCHESTER,2008-02-12T05:00:00Z,WESTERN,0010 016 021208
0010,1740 N CALHOUN ST,7,"(39.30856723, -76.64454744)",020,SANDTOWN-WINCHESTER,2008-02-14T05:00:00Z,WESTERN,0010 020 021408
0010,1709 N MOUNT ST,7,"(39.30840718, -76.64468738)",027,SANDTOWN-WINCHESTER,2004-11-11T05:00:00Z,WESTERN,0010 027 111104
0010,1703 N MOUNT ST,7,"(39.3083057, -76.64467045)",030,SANDTOWN-WINCHESTER,2006-06-20T04:00:00Z,WESTERN,0010 030 062006
0010,1610 PRESBURY ST,7,"(39.30815286, -76.64445308)",039,SANDTOWN-WINCHESTER,2012-03-08T05:00:00Z,WESTERN,0010 039 030812
0012,1607 N PAYSON ST,7,"(39.30682311, -76.64945829)",001C,EASTERWOOD,2015-01-12T05:00:00Z,WESTERN,0012 001C 011215
0012,1609 N PAYSON ST,7,"(39.30687489, -76.64946136)",001D,EASTERWOOD,2012-12-05T05:00:00Z,WESTERN,0012 001D 120512
0012,1613 N PAYSON ST,7,"(39.30696687, -76.64946692)",002A,EASTERWOOD,2010-11-05T04:00:00Z,WESTERN,0012 002A 110510
0012,1619 N PAYSON ST,7,"(39.30709737, -76.64947476)",002D,EASTERWOOD,2014-10-24T04:00:00Z,WESTERN,0012 002D 102414
0012,1621 N PAYSON ST,7,"(39.3071448, -76.64947761)",002E,EASTERWOOD,2014-02-05T05:00:00Z,WESTERN,0012 002E 020514
0012,1627 N PAYSON ST,7,"(39.30723714, -76.64948276)",004,EASTERWOOD,2010-03-23T04:00:00Z,WESTERN,0012 004 032310
0012,1637 N PAYSON ST,7,"(39.30742858, -76.64949225)",009,EASTERWOOD,2015-12-14T05:00:00Z,WESTERN,0012 009 121415
0012,1647 N PAYSON ST,7,"(39.30762139, -76.649503)",014,EASTERWOOD,2015-11-13T05:00:00Z,WESTERN,0012 014 111315
0012,1651 N PAYSON ST,7,"(39.3076988, -76.64950513)",016,EASTERWOOD,2009-01-08T05:00:00Z,WESTERN,0012 016 010809
0012,1644 APPLETON ST,7,"(39.30752304, -76.64915547)",022,EASTERWOOD,2010-09-08T04:00:00Z,WESTERN,0012 022 090810
0012,1634 APPLETON ST,7,"(39.30732939, -76.64914333)",027,EASTERWOOD,2012-01-30T05:00:00Z,WESTERN,0012 027 013012
0012,1632 APPLETON ST,7,"(39.30729103, -76.64914326)",028,EASTERWOOD,2012-03-23T04:00:00Z,WESTERN,0012 028 032312
0012,1608 APPLETON ST,7,"(39.30683215, -76.64911417)",040,EASTERWOOD,2014-06-18T04:00:00Z,WESTERN,0012 040 061814
0012,1604 APPLETON ST,7,"(39.3067543, -76.64910941)",042,EASTERWOOD,2012-07-17T04:00:00Z,WESTERN,0012 042 071712
0012,1619 APPLETON ST,7,"(39.30703977, -76.64859727)",054,EASTERWOOD,2009-04-03T04:00:00Z,WESTERN,0012 054 040309
0012,1637 APPLETON ST,7,"(39.30738415, -76.64861625)",063,EASTERWOOD,2015-01-16T05:00:00Z,WESTERN,0012 063 011615
0012,1653 APPLETON ST,7,"(39.30769193, -76.64863244)",071,EASTERWOOD,2015-03-04T05:00:00Z,WESTERN,0012 071 030415
0012,1648 N MONROE ST,7,"(39.30762696, -76.64828557)",076,EASTERWOOD,2007-11-21T05:00:00Z,WESTERN,0012 076 112107
0012,1646 N MONROE ST,7,"(39.30758766, -76.64828327)",077,EASTERWOOD,2010-09-24T04:00:00Z,WESTERN,0012 077 092410
0012,1630 N MONROE ST,7,"(39.30728082, -76.64826563)",085,EASTERWOOD,2006-11-10T05:00:00Z,WESTERN,0012 085 111006
0012,1624 N MONROE ST,7,"(39.30716665, -76.6482589)",088,EASTERWOOD,2015-01-08T05:00:00Z,WESTERN,0012 088 010815
0012,1608 N MONROE ST,7,"(39.30685842, -76.64823978)",096,EASTERWOOD,2008-01-10T05:00:00Z,WESTERN,0012 096 011008
0013A,1600 MCKEAN AVE,7,"(39.30697748, -76.64741937)",007,SANDTOWN-WINCHESTER,2008-05-29T04:00:00Z,WESTERN,0013A007 052908
0013A,1602 MCKEAN AVE,7,"(39.30701505, -76.64742169)",008,SANDTOWN-WINCHESTER,2008-05-28T04:00:00Z,WESTERN,0013A008 052808
0013A,1606 MCKEAN AVE,7,"(39.30708799, -76.64742624)",010,SANDTOWN-WINCHESTER,2009-09-30T04:00:00Z,WESTERN,0013A010 093009
0013A,1608 MCKEAN AVE,7,"(39.30712489, -76.64742848)",011,SANDTOWN-WINCHESTER,2015-06-04T04:00:00Z,WESTERN,0013A011 060415
0013A,1614 MCKEAN AVE,7,"(39.30723404, -76.64743494)",014,SANDTOWN-WINCHESTER,2009-02-23T05:00:00Z,WESTERN,0013A014 022309
0013A,1616 MCKEAN AVE,7,"(39.30727082, -76.64743698)",015,SANDTOWN-WINCHESTER,2011-06-24T04:00:00Z,WESTERN,0013A015 062411
0013A,1618 MCKEAN AVE,7,"(39.30730674, -76.64743898)",016,SANDTOWN-WINCHESTER,2011-06-23T04:00:00Z,WESTERN,0013A016 062311
0013A,1620 MCKEAN AVE,7,"(39.30734246, -76.64744098)",017,SANDTOWN-WINCHESTER,2011-04-28T04:00:00Z,WESTERN,0013A017 042811
0013A,1624 MCKEAN AVE,7,"(39.30741679, -76.647445)",019,SANDTOWN-WINCHESTER,2015-12-10T05:00:00Z,WESTERN,0013A019 121015
0013A,1626 MCKEAN AVE,7,"(39.30745236, -76.64744694)",020,SANDTOWN-WINCHESTER,2015-05-06T04:00:00Z,WESTERN,0013A020 050615
0013A,1628 MCKEAN AVE,7,"(39.30748894, -76.64744893)",021,SANDTOWN-WINCHESTER,2015-02-20T05:00:00Z,WESTERN,0013A021 022015
0013A,1805 PRESBURY ST,7,"(39.30768095, -76.64743835)",025,SANDTOWN-WINCHESTER,2007-06-22T04:00:00Z,WESTERN,0013A025 062207
0013A,1809 PRESBURY ST,7,"(39.30767806, -76.6475303)",027,SANDTOWN-WINCHESTER,2007-09-24T04:00:00Z,WESTERN,0013A027 092407
0013A,1601 N MONROE ST,7,"(39.30672365, -76.64772096)",029,SANDTOWN-WINCHESTER,2013-08-13T04:00:00Z,WESTERN,0013A029 081313
0013A,1635 N MONROE ST,7,"(39.30737196, -76.64776146)",046,SANDTOWN-WINCHESTER,2013-05-10T04:00:00Z,WESTERN,0013A046 051013
0013A,1639 N MONROE ST,7,"(39.30744904, -76.64776541)",048,SANDTOWN-WINCHESTER,2009-03-23T04:00:00Z,WESTERN,0013A048 032309
0013A,1651 N MONROE ST,7,"(39.30768033, -76.64777723)",054,SANDTOWN-WINCHESTER,2006-01-11T05:00:00Z,WESTERN,0013A054 011106
